scene-num,scene-name,set,strike
1.02,mansion,t2 t3 bookshelf1 bookshelf2 bed,helm stair1 stair2 table1 table2 platform glacier
1.03,mansion,,
1.04,lab,t1 blackboard1 blackboard2 teacher-desk table1 table2,t2 bookshelf1 bookshelf2 bed
1.05,lab-ctk,ctk,teacher-desk
1.06,street-halflab,teacher-desk bed bench trash,t1 blackboard2 ctk table1
1.07,half-lab,,bench trash
1.08,half-lab,,
1.09,mansion,t2 bookshelf1 bookshelf2,blackboard1 teacher-desk table2
1.10,prison,mansion_scrim prison,t2 t3 bookshelf1 bookshelf2 bed
1.11,mansion,t2 t3 bookshelf1 bookshelf2 bed,mansion_scrim prison
1.12,glacier,scrim platform glacier,bookshelf1 bookshelf2 bed
2.01,glacier,,
2.02,forest,tree,scrim t2 t3 platform glacier
2.03,cottage,prison t1 t2 bookshelf1 bed,
2.04,small-boat,small-boat,tree prison t1 t2 bookshelf1 bed
2.05,glacier,scrim t2 t3 platform glacier,small-boat
2.06,small-boat,small-boat,scrim t2 t3 platform glacier
2.07,small-boat,,
2.08,hotel,t2 t3 bed table1 nightstand,small-boat
2.09,cottage,tree prison t1 bookshelf1,t3 table1 nightstand
2.10,small-boat,small-boat,tree prison t1 t2 bookshelf1 bed
2.11,mansion,t2 t3 bookshelf1 bookshelf2 bed,small-boat
2.12,small-boat,small-boat,t2 t3 bookshelf1 bookshelf2 bed
2.13,big-boat,helm stair1 stair2 table1 table2 platform glacier,small-boat
